Output, Typename, NumOps, NumCols, PartialThreshold, SelVecThreshold
Threshold, int64, 40, 1, 0.4, 0.45
Threshold, int64, 38, 1, 0.4, 0.5
Threshold, int64, 36, 1, 0.45, 0.5
Threshold, int64, 34, 1, 0.4, 0.55
Threshold, int64, 32, 1, 0.4, 0.5
Threshold, int64, 30, 1, 0.35, 0.45
Threshold, int64, 28, 1, 0.35, 0.45
Threshold, int64, 26, 1, 0.35, 0.45
Threshold, int64, 24, 1, 0.35, 0.5
Threshold, int64, 22, 1, 0.4, 0.5
Threshold, int64, 20, 1, 0.3, 0.5
Threshold, int64, 18, 1, 0.35, 0.45
Threshold, int64, 16, 1, 0.35, 0.45
Threshold, int64, 14, 1, 0.3, 0.4
Threshold, int64, 12, 1, 0.3, 0.35
Threshold, int64, 10, 1, 0.25, 0.35
Threshold, int64, 8, 1, 0.25, 0.4
Threshold, int64, 6, 1, 0.25, 0.35
Threshold, int64, 4, 1, 0.25, 0.35
Threshold, int64, 2, 1, 0.25, 0.4
Threshold, int64, 0, 1, 0.35, 0.4
