Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, BitwiseAndProjection, 0, 0, 0.1, 363.525, 296.903, 214.607
Individual, BitwiseAndProjection, 0, 0, 0.15, 365.024, 406.8, 259.993
Individual, BitwiseAndProjection, 0, 0, 0.2, 367.83, 519.195, 397.889
Individual, BitwiseAndProjection, 0, 0, 0.25, 371.015, 669.24, 454.518
Individual, BitwiseAndProjection, 0, 0, 0.3, 369.239, 815.418, 613.461
Individual, BitwiseAndProjection, 0, 0, 0.35, 370.69, 963.07, 668.855
Individual, BitwiseAndProjection, 0, 0, 0.4, 369.712, 1099.15, 779.899
Individual, BitwiseAndProjection, 0, 0, 0.45, 372.285, 1184.73, 900.236
Individual, BitwiseAndProjection, 0, 0, 0.5, 369.648, 1314.62, 967.46
Individual, BitwiseAndProjection, 0, 0, 0.55, 372.413, 1421.64, 1023.03
Individual, BitwiseAndProjection, 0, 0, 0.6, 373.671, 1546.59, 1107.35
Individual, BitwiseAndProjection, 0, 0, 0.65, 390.71, 1624.97, 1192.4
Individual, BitwiseAndProjection, 0, 0, 0.7, 375.703, 1737.48, 1276.55
Individual, BitwiseAndProjection, 0, 0, 0.75, 374.264, 1799.19, 1348.16
Individual, BitwiseAndProjection, 0, 0, 0.8, 374.398, 1952.28, 1413.55
Individual, BitwiseAndProjection, 0, 0, 0.85, 374.56, 2002.75, 1466.87
Individual, BitwiseAndProjection, 0, 0, 0.9, 379.656, 2101.45, 1522.06
Individual, BitwiseAndProjection, 0, 0, 0.95, 379.234, 2185.97, 1575.11
Individual, BitwiseAndProjection, 0, 0, 1, 394.056, 2146.74, 1628.2
