Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, BitwiseAndProjection, 0, 0, 0.05, 522.87, 191.181, 130.259
Individual, BitwiseAndProjection, 0, 0, 0.1, 522.336, 351.807, 202.426
Individual, BitwiseAndProjection, 0, 0, 0.15, 523.674, 500.272, 414.783
Individual, BitwiseAndProjection, 0, 0, 0.2, 527.454, 757.644, 522.032
Individual, BitwiseAndProjection, 0, 0, 0.25, 530.936, 976.786, 648.994
Individual, BitwiseAndProjection, 0, 0, 0.3, 526.718, 1064.1, 715.281
Individual, BitwiseAndProjection, 0, 0, 0.35, 529.602, 1205.32, 864.063
Individual, BitwiseAndProjection, 0, 0, 0.4, 528.435, 1334.95, 905.31
Individual, BitwiseAndProjection, 0, 0, 0.45, 528.384, 1449.38, 1003.57
Individual, BitwiseAndProjection, 0, 0, 0.5, 526.575, 1564.16, 1146.37
Individual, BitwiseAndProjection, 0, 0, 0.55, 541.055, 1733.49, 1247.67
Individual, BitwiseAndProjection, 0, 0, 0.6, 539.108, 1778.9, 1298.86
Individual, BitwiseAndProjection, 0, 0, 0.65, 549.197, 1888, 1360.92
Individual, BitwiseAndProjection, 0, 0, 0.7, 567.016, 1965.99, 1463.1
Individual, BitwiseAndProjection, 0, 0, 0.75, 552.71, 2020.89, 1555.38
Individual, BitwiseAndProjection, 0, 0, 0.8, 556.802, 2207.14, 1619.5
Individual, BitwiseAndProjection, 0, 0, 0.85, 551.498, 2305.36, 1664.69
Individual, BitwiseAndProjection, 0, 0, 0.9, 553.905, 2405.5, 1737.65
Individual, BitwiseAndProjection, 0, 0, 0.95, 554.143, 2506.68, 1805.35
Individual, BitwiseAndProjection, 0, 0, 1, 554.556, 2606.89, 1897.6
